text,category
"Vocês têm horário de atendimento nos finais de semana?",outros
"Gostaria de saber mais sobre a política de privacidade da empresa",outros
"Só queria agradecer pela solução rápida do meu problema anterior",outros
"Como faço para trabalhar na empresa de vocês?",outros
"Vocês participam de algum evento presencial este ano?",outros
"Gostaria de saber se o aplicativo funciona sem internet",outros
"Existe algum canal para sugestões de melhoria?",outros
"Queria saber se vocês têm loja física na minha cidade",outros
"Vocês têm algum programa de fidelidade para clientes antigos?",outros
"Gostaria de saber como funciona o suporte via WhatsApp",outros
"Só queria confirmar se vocês ainda existem, faz tempo que não uso",outros
"Vocês têm um blog ou canal com dicas de uso do produto?",outros
"Gostaria de saber se dá pra usar a mesma conta em dois países diferentes",outros
